iter	Logloss
0	0.6363140205
1	0.5910156831
2	0.5597070546
3	0.5336174189
4	0.5128695333
5	0.4971238703
6	0.4852826531
7	0.4747570741
8	0.4674143255
9	0.4600298726
10	0.454299788
11	0.4498908569
12	0.44595451
13	0.4422349003
14	0.4395662849
15	0.4371173536
16	0.4346438773
17	0.4329040685
18	0.4314038148
19	0.4298774949
20	0.4284354434
21	0.4266910012
22	0.4252709408
23	0.4240337765
24	0.4230620495
25	0.4219379642
26	0.4206990766
27	0.4197833508
28	0.4189445666
29	0.4180780555
30	0.417262791
31	0.4165110309
32	0.4158497377
33	0.4151166177
34	0.414668637
35	0.4141467536
36	0.4134989821
37	0.4128477898
38	0.412353545
39	0.4115957552
40	0.4110811176
41	0.4105173095
42	0.4099924461
43	0.4094011829
44	0.4088722116
45	0.4081009368
46	0.4076884617
47	0.4072544143
48	0.4067834284
49	0.406215391
50	0.4057057138
51	0.4052568881
52	0.4048914194
53	0.4044973419
54	0.4041322664
55	0.4038729983
56	0.4035561931
57	0.4032331231
58	0.4028561683
59	0.4025386613
60	0.4021258922
61	0.401906234
62	0.4015481471
63	0.4011063321
64	0.4007993485
65	0.4005870685
66	0.400285681
67	0.4000171939
68	0.3996928893
69	0.3993678608
70	0.3989055317
71	0.3986175631
72	0.398400341
73	0.398238286
74	0.3980445285
75	0.3977288146
76	0.3973735534
77	0.3971075465
78	0.3968421863
79	0.3965796958
80	0.3962180448
81	0.3958355747
82	0.395517399
83	0.3952234447
84	0.3949588672
85	0.3947630484
86	0.3943777123
87	0.3941486183
88	0.3939116206
89	0.3936907278
90	0.393498396
91	0.3933080446
92	0.3930628127
93	0.3927714195
94	0.3925510044
95	0.3923431079
96	0.392117431
97	0.3918573031
98	0.3916442478
99	0.3913290667
100	0.3911074867
101	0.3908715914
102	0.3906404618
103	0.3903636669
104	0.3901861539
105	0.3899528417
106	0.3897645333
107	0.3894586483
108	0.3892291832
109	0.3889547032
110	0.3886980513
111	0.3883482244
112	0.388168775
113	0.3880005103
114	0.3877372666
115	0.3874691396
116	0.3872088243
117	0.3869596131
118	0.3866249577
119	0.3863219829
120	0.3861401231
121	0.3859040514
122	0.3857329354
123	0.3854675238
124	0.3852455911
125	0.3850362579
126	0.3848075534
127	0.3846236248
128	0.3842509984
129	0.3840896049
130	0.3837974144
131	0.3835562647
132	0.3833538687
133	0.3831089344
134	0.3828117504
135	0.3826043279
136	0.3824357509
137	0.3822535089
138	0.3820371944
139	0.3818268691
140	0.3816163234
141	0.3814404197
142	0.3812329053
143	0.3810658128
144	0.380837145
145	0.3806664479
146	0.3804562218
147	0.380340082
148	0.380074031
149	0.3798841059
