iter	Passed	Remaining
850	30286	5302
851	30323	5267
852	30363	5232
853	30397	5196
854	30434	5161
855	30473	5126
856	30506	5090
857	30539	5054
858	30576	5018
859	30607	4982
860	30642	4946
861	30679	4911
862	30714	4875
863	30750	4840
864	30785	4804
865	30824	4769
866	30860	4734
867	30898	4698
868	30938	4663
869	30972	4628
870	31007	4592
871	31045	4557
872	31080	4521
873	31120	4486
874	31158	4451
875	31195	4415
876	31233	4380
877	31268	4344
878	31302	4309
879	31338	4273
880	31371	4237
881	31412	4202
882	31446	4166
883	31485	4131
884	31516	4095
885	31550	4059
886	31585	4023
887	31625	3988
888	31657	3952
889	31689	3916
890	31723	3880
891	31755	3844
892	31794	3809
893	31827	3773
894	31869	3738
895	31905	3703
896	31942	3667
897	31982	3632
898	32020	3597
899	32053	3561
900	32090	3526
901	32126	3490
902	32160	3454
903	32197	3419
904	32229	3383
905	32266	3347
906	32301	3312
907	32337	3276
908	32372	3240
909	32409	3205
910	32445	3169
911	32486	3134
912	32519	3098
913	32553	3062
914	32589	3027
915	32622	2991
916	32660	2956
917	32695	2920
918	32728	2884
919	32770	2849
920	32805	2813
921	32847	2778
922	32882	2743
923	32913	2707
924	32947	2671
925	32982	2635
926	33017	2600
927	33052	2564
928	33093	2529
929	33128	2493
930	33166	2458
931	33204	2422
932	33236	2386
933	33278	2351
934	33313	2315
935	33350	2280
936	33389	2244
937	33424	2209
938	33458	2173
939	33498	2138
940	33533	2102
941	33572	2067
942	33607	2031
943	33644	1995
944	33683	1960
945	33718	1924
946	33761	1889
947	33797	1853
948	33835	1818
949	33870	1782
950	33908	1747
951	33951	1711
952	33988	1676
953	34027	1640
954	34062	1605
955	34100	1569
956	34138	1533
957	34172	1498
958	34209	1462
959	34246	1426
960	34281	1391
961	34317	1355
962	34350	1319
963	34385	1284
964	34422	1248
965	34459	1212
966	34501	1177
967	34539	1141
968	34572	1106
969	34606	1070
970	34642	1034
971	34678	998
972	34716	963
973	34755	927
974	34791	892
975	34829	856
976	34873	820
977	34904	785
978	34939	749
979	34971	713
980	35007	678
981	35043	642
982	35077	606
983	35114	570
984	35152	535
985	35187	499
986	35223	463
987	35257	428
988	35291	392
989	35325	356
990	35362	321
991	35396	285
992	35430	249
993	35467	214
994	35508	178
995	35550	142
996	35585	107
997	35625	71
998	35661	35
999	35698	0
